epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,558.477,0.77071,0.3851,0.07688,0.49046,0.91303,0.88672,0.87626,0.93193,0.7397,0.89983,0.88823,0.94591,0.88509,0.79245,0.30594,0.40537,0.70265,0.96537,0.0013004,0.0013004,0.0013004
55,568.577,0.75817,0.35122,0.07206,0.49253,0.91203,0.90926,0.87313,0.93247,0.75424,0.90102,0.91708,0.95328,0.89034,0.78555,0.31434,0.47607,0.64972,0.97234,0.0012872,0.0012872,0.0012872
56,578.915,0.74794,0.36679,0.0727,0.48652,0.91556,0.928,0.9138,0.94576,0.77614,0.9422,0.9291,0.96151,0.91258,0.76079,0.26326,0.44467,0.58975,0.96139,0.001274,0.001274,0.001274
57,589.734,0.75305,0.39151,0.07447,0.4968,0.9103,0.93441,0.8694,0.93651,0.75659,0.91237,0.91298,0.95034,0.89514,0.77839,0.26616,0.43362,0.65947,0.95668,0.0012608,0.0012608,0.0012608
58,600.133,0.77507,0.35305,0.06971,0.50144,0.92013,0.93782,0.90044,0.94774,0.76919,0.94136,0.91418,0.96239,0.90459,0.74808,0.28524,0.42599,0.59706,0.95799,0.0012476,0.0012476,0.0012476
59,610.427,0.75088,0.33909,0.06148,0.47667,0.91486,0.94063,0.91626,0.95256,0.77277,0.94637,0.92186,0.96919,0.91421,0.76084,0.25787,0.41295,0.55656,0.95372,0.0012344,0.0012344,0.0012344
60,621.22,0.77587,0.35075,0.07154,0.49979,0.92026,0.92395,0.91604,0.94795,0.76877,0.93239,0.92625,0.9624,0.8988,0.75713,0.28794,0.38137,0.61836,0.9554,0.0012212,0.0012212,0.0012212
61,631.109,0.71523,0.32144,0.06454,0.46827,0.90223,0.91696,0.84142,0.91402,0.73185,0.92891,0.85075,0.93017,0.87398,0.7936,0.30231,0.37858,0.76458,0.97374,0.001208,0.001208,0.001208
62,640.569,0.72601,0.3302,0.06807,0.4689,0.90533,0.94193,0.9079,0.95315,0.77517,0.95354,0.91892,0.96452,0.90651,0.74761,0.27197,0.39743,0.54855,0.95299,0.0011948,0.0011948,0.0011948
63,650.253,0.73882,0.3275,0.07241,0.47939,0.90297,0.91418,0.90858,0.94227,0.74731,0.92356,0.91791,0.95951,0.89592,0.82444,0.28088,0.45805,0.61357,0.99764,0.0011816,0.0011816,0.0011816
