epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3556.03,0.72824,0.31228,0,0.48624,0.91427,0.96994,0.93847,0.98737,0.86391,0.96857,0.93898,0.97856,0.9434,0.44336,0.22589,0,0.56872,0.70397,0.00278405,0.00278405,0.00278405
99,3567.06,0.72537,0.33657,0,0.48977,0.91335,0.96993,0.93819,0.9878,0.86743,0.96725,0.93906,0.97891,0.944,0.42317,0.2247,0,0.45874,0.70293,0.00269084,0.00269084,0.00269084
100,3577.95,0.7499,0.38455,0,0.48939,0.91513,0.96598,0.93975,0.98672,0.86671,0.96692,0.94183,0.97969,0.94483,0.43479,0.22586,0,0.49149,0.70514,0.00259864,0.00259864,0.00259864
101,3588.73,0.727,0.36978,0,0.48935,0.90973,0.97064,0.93859,0.98545,0.86313,0.97064,0.93859,0.97801,0.9436,0.44476,0.22435,0,0.46467,0.70534,0.0025075,0.0025075,0.0025075
102,3603.91,0.72247,0.33534,0,0.47737,0.91312,0.96501,0.94044,0.98678,0.86342,0.9643,0.93975,0.97577,0.94153,0.43504,0.22957,0,0.46211,0.70212,0.00241746,0.00241746,0.00241746
103,3614.97,0.70709,0.34449,0,0.47399,0.90975,0.9714,0.93906,0.98579,0.87139,0.96842,0.93629,0.97477,0.94452,0.421,0.22326,0,0.44041,0.70102,0.00232855,0.00232855,0.00232855
104,3625.53,0.72114,0.37261,0,0.49152,0.91764,0.97065,0.93913,0.9874,0.87634,0.96336,0.94668,0.979,0.94633,0.4181,0.22113,0,0.4813,0.70033,0.00224081,0.00224081,0.00224081
105,3640.16,0.71538,0.33135,0,0.47885,0.91209,0.96895,0.94321,0.98789,0.87244,0.96742,0.94183,0.97909,0.94844,0.42209,0.22119,0,0.46519,0.69979,0.00215429,0.00215429,0.00215429
106,3652.08,0.69537,0.35438,0,0.4817,0.90717,0.97198,0.93678,0.9867,0.86978,0.96661,0.94225,0.9798,0.9462,0.42419,0.22388,0,0.41174,0.69978,0.00206901,0.00206901,0.00206901
107,3663.34,0.70804,0.34506,0,0.47228,0.91114,0.97202,0.93834,0.98666,0.87701,0.97043,0.93698,0.9804,0.9483,0.41579,0.22231,0,0.5101,0.6986,0.00198503,0.00198503,0.00198503
